step,node_count,diameter,avg_diameter,degree,cost,traffic
1,9,3,1.75,4,14,0.875
2,18,5,2.764705882352941,5,29,1.1058823529411765
3,27,5,3.076923076923077,6,45,1.0256410256410258
4,36,6,3.4857142857142858,6,60,1.161904761904762
5,45,6,3.727272727272727,6,75,1.2424242424242424
6,54,7,4.056603773584905,6,90,1.3522012578616351
7,63,7,4.290322580645161,6,105,1.4301075268817203
8,72,8,4.591549295774648,6,120,1.5305164319248827
9,81,8,4.825,6,135,1.6083333333333334
10,90,9,5.112359550561798,6,150,1.7041198501872659
11,99,9,5.346938775510204,6,165,1.782312925170068
12,108,10,5.626168224299065,6,180,1.8753894080996885
